cluster_id,display_name,description,scale_name,n_tiles,n_patients,n_samples,prototype_panel,card_md,card_png,disease_overlap_patient_counts,warnings,feature.handcrafted.roughness_Sa,feature.handcrafted.roughness_Sq,feature.handcrafted.roughness_Sz,feature.handcrafted.roughness_Ssk,feature.handcrafted.roughness_Sku,feature.handcrafted.grad_grad_mean,feature.texture.glcm_contrast,feature.psd.psd_low_fraction,feature.psd.psd_high_fraction,feature.topology.skeleton_length_px,feature.topology.skeleton_junctions,rank.roughness,rank.rms_roughness,rank.height_range,rank.gradient,rank.texture_contrast,rank.fine_psd,rank.skeleton_density,rank.branching
large__c000,large high-relief high-roughness motif,"large-scale motif with high-relief, high-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: positive-skew peaks, heavy-tailed height distribution.",large,9,5,5,artifacts/pattern_atlas/clusters/large__c000/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/large__c000.md,reports/v1/atlas_motif_catalog/cards/large__c000_card.png,"{""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 1, ""multiple_sclerosis"": 2}",[],0.7527679800987244,1.0786743958791096,10.732724759313795,2.303030831946267,19.65516601668464,0.36464375009139377,2.615341208257842,0.876723997962493,0.008801019654330285,18962.444444444445,3628.222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
medium__c000,medium high-relief high-roughness motif,"medium-scale motif with high-relief, high-roughness, smooth-texture, sparse or compact structure, and mostly low-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",medium,14,4,6,artifacts/pattern_atlas/clusters/medium__c000/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c000.md,reports/v1/atlas_motif_catalog/cards/medium__c000_card.png,"{""POAG"": 2, ""healthy"": 1, ""multiple_sclerosis"": 1}",[],3.195124472890581,3.7536193302699496,16.396338599068777,0.006216288864379749,2.0969638569014415,0.28684745196785244,0.3308963389709672,0.9990124514282258,5.878959445358992e-05,1101.5,79.64285714285714,1.0,1.0,1.0,0.75,0.25,0.25,0.25,0.25
medium__c002,medium moderate-relief moderate-roughness motif,"medium-scale motif with moderate-relief, moderate-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: positive-skew peaks, heavy-tailed height distribution.",medium,20,1,1,artifacts/pattern_atlas/clusters/medium__c002/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c002.md,reports/v1/atlas_motif_catalog/cards/medium__c002_card.png,"{""multiple_sclerosis"": 1}","[{""cluster_id"": ""medium__c002"", ""fraction"": 1.0, ""patient_id"": ""19_pm_sm"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c002"", ""fraction"": 1.0, ""sample_id"": ""19_pm_sm_fa154f338b55"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.5571607917547226,0.785616859793663,8.304562240839005,1.8336541652679443,11.833204221725463,0.5040774837136268,5.8306908130196184,0.5671018058423541,0.03337539309589918,3507.55,1276.6,0.375,0.375,0.375,0.875,1.0,1.0,0.75,0.75
medium__c003,medium moderate-relief moderate-roughness motif,"medium-scale motif with moderate-relief, moderate-roughness, mixed-texture, sparse or compact structure, and mixed-frequency PSD content. Height distribution: positive-skew peaks, heavy-tailed height distribution.",medium,9,2,2,artifacts/pattern_atlas/clusters/medium__c003/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c003.md,reports/v1/atlas_motif_catalog/cards/medium__c003_card.png,"{""dry_eye"": 1, ""multiple_sclerosis"": 1}","[{""cluster_id"": ""medium__c003"", ""fraction"": 0.6666666666666666, ""patient_id"": ""29_pm_suche_oko"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c003"", ""fraction"": 0.6666666666666666, ""sample_id"": ""29_pm_suche_oko_350aab4876ad"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.816948413848877,1.4648984803093805,12.881868322690329,3.8491185241275363,22.97927761077881,0.23257469137509665,0.34711176420008194,0.996595889791877,0.0001997573482103881,57.888888888888886,2.0,0.5,0.5,0.625,0.625,0.375,0.625,0.125,0.125
medium__c004,medium low-relief low-roughness motif,"medium-scale motif with low-relief, low-roughness, high-contrast texture, moderate structural complexity, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, moderate height tails.",medium,8,1,1,artifacts/pattern_atlas/clusters/medium__c004/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c004.md,reports/v1/atlas_motif_catalog/cards/medium__c004_card.png,"{""dry_eye"": 1}","[{""cluster_id"": ""medium__c004"", ""fraction"": 1.0, ""patient_id"": ""29_pm_suche_oko"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c004"", ""fraction"": 1.0, ""sample_id"": ""29_pm_suche_oko_350aab4876ad"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.4245425835251808,0.5198278799653053,3.430313214659691,0.01952507160604,2.929974853992462,0.2113975640386343,2.9686963828344766,0.9574957756527757,0.0017786374680619612,1788.375,298.75,0.125,0.125,0.125,0.5,0.875,0.875,0.5,0.625
medium__c005,medium high-relief high-roughness motif,"medium-scale motif with high-relief, high-roughness, smooth-texture, moderate structural complexity, and mostly low-frequency PSD content. Height distribution: near-symmetric height distribution, heavy-tailed height distribution.",medium,10,1,1,artifacts/pattern_atlas/clusters/medium__c005/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c005.md,reports/v1/atlas_motif_catalog/cards/medium__c005_card.png,"{""multiple_sclerosis"": 1}","[{""cluster_id"": ""medium__c005"", ""fraction"": 1.0, ""patient_id"": ""19_sm_mk"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c005"", ""fraction"": 1.0, ""sample_id"": ""19_sm_mk_02b4d1110372"", ""warning"": ""cluster_dominated_by_one_sample""}]",1.922660219669342,2.4994707822799684,16.13661150932312,0.27381844967603686,4.0149169921875,0.11906935200095177,0.10735963831749071,0.999866308568088,1.1854571256259895e-05,2423.8,91.2,0.875,0.875,0.875,0.25,0.125,0.125,0.625,0.375
medium__c006,medium low-relief low-roughness motif,"medium-scale motif with low-relief, low-roughness, mixed-texture, dense branching/skeleton-like structure, and mixed-frequency PSD content. Height distribution: negative-skew pits, moderate height tails.",medium,15,1,1,artifacts/pattern_atlas/clusters/medium__c006/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c006.md,reports/v1/atlas_motif_catalog/cards/medium__c006_card.png,"{""diabetes"": 1}","[{""cluster_id"": ""medium__c006"", ""fraction"": 1.0, ""patient_id"": ""dusan1_dm_ster_mikro_281"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c006"", ""fraction"": 1.0, ""sample_id"": ""dusan1_dm_ster_mikro_281123_813b32c1e7b5"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.511728185415268,0.6415122350056967,4.279398735364278,-0.6187971919775009,2.9806503295898437,0.07698257962862651,0.6940591191456542,0.9988164310346203,9.270131150367562e-05,23478.6,2787.6,0.25,0.25,0.25,0.125,0.625,0.5,1.0,1.0
medium__c007,medium high-relief high-roughness motif,"medium-scale motif with high-relief, high-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, moderate height tails.",medium,16,1,1,artifacts/pattern_atlas/clusters/medium__c007/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c007.md,reports/v1/atlas_motif_catalog/cards/medium__c007_card.png,"{""multiple_sclerosis"": 1}","[{""cluster_id"": ""medium__c007"", ""fraction"": 1.0, ""patient_id"": ""20_lm_sm_ss"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c007"", ""fraction"": 1.0, ""sample_id"": ""20_lm_sm_ss_33548e5fb625"", ""warning"": ""cluster_dominated_by_one_sample""}]",1.7294847071170807,2.188263013958931,15.609309509396553,0.35712830018019304,3.3079545944929123,0.9019998051226139,2.918089103382429,0.9505547199436042,0.0014328531898636409,7354.875,1457.125,0.75,0.75,0.75,1.0,0.75,0.75,0.875,0.875
medium__c008,medium moderate-relief moderate-roughness motif,"medium-scale motif with moderate-relief, moderate-roughness, mixed-texture, moderate structural complexity, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, moderate height tails.",medium,25,6,8,artifacts/pattern_atlas/clusters/medium__c008/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/medium__c008.md,reports/v1/atlas_motif_catalog/cards/medium__c008_card.png,"{""healthy"": 4, ""multiple_sclerosis"": 2}","[{""cluster_id"": ""medium__c008"", ""fraction"": 0.52, ""patient_id"": ""9l"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""medium__c008"", ""fraction"": 0.52, ""sample_id"": ""9l_69370dbb849c"", ""warning"": ""cluster_dominated_by_one_sample""}]",1.6262176513671875,1.9758116340637206,9.995627346038818,0.05850884322077036,2.514510612487793,0.20877036899328233,0.3620118753198738,0.9988349721787353,7.601040992903694e-05,1543.88,96.32,0.625,0.625,0.5,0.375,0.5,0.375,0.375,0.5
small__c000,small moderate-relief moderate-roughness motif,"small-scale motif with moderate-relief, moderate-roughness, high-contrast texture, sparse or compact structure, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,27,6,7,artifacts/pattern_atlas/clusters/small__c000/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c000.md,reports/v1/atlas_motif_catalog/cards/small__c000_card.png,"{""POAG"": 1, ""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 3}","[{""cluster_id"": ""small__c000"", ""fraction"": 0.6666666666666666, ""patient_id"": ""kontr_01_03_2024_lo"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c000"", ""fraction"": 0.6666666666666666, ""sample_id"": ""kontr_01_03_2024_lo_31aee4de9403"", ""warning"": ""cluster_dominated_by_one_sample""}]",1.8070566941190649,2.1071272249575013,8.627944610736987,0.37225642427802086,2.2706074317296348,0.8084649840990702,4.581341369524318,0.9116952610028132,0.007021616847483642,99.22222222222223,12.703703703703704,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.0,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.18181818181818182
small__c001,small high-relief high-roughness motif,"small-scale motif with high-relief, high-roughness, smooth-texture, sparse or compact structure, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,246,16,23,artifacts/pattern_atlas/clusters/small__c001/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c001.md,reports/v1/atlas_motif_catalog/cards/small__c001_card.png,"{""POAG"": 5, ""healthy"": 7, ""multiple_sclerosis"": 4}",[],3.5546559773809543,4.228553720606052,17.262242198959598,-0.4948074396858673,2.4127306579574337,0.4194121727553325,0.361096712226078,0.9951102202216635,0.0004338026584919287,249.3780487804878,14.178861788617887,1.0,1.0,1.0,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.2727272727272727
small__c002,small high-relief high-roughness motif,"small-scale motif with high-relief, high-roughness, mixed-texture, sparse or compact structure, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,472,18,45,artifacts/pattern_atlas/clusters/small__c002/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c002.md,reports/v1/atlas_motif_catalog/cards/small__c002_card.png,"{""POAG"": 5, ""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 3, ""multiple_sclerosis"": 8}",[],2.45797774309324,2.8908119536304877,11.331235205723068,-0.24183857019041602,2.17480241040052,0.2754150283270342,0.49521710514913814,0.9944713513195305,0.00045821155540369177,200.69703389830508,10.917372881355933,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.09090909090909091
small__c003,small high-relief high-roughness motif,"small-scale motif with high-relief, high-roughness, mixed-texture, moderate structural complexity, and mostly low-frequency PSD content. Height distribution: positive-skew peaks, moderate height tails.",small,369,22,43,artifacts/pattern_atlas/clusters/small__c003/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c003.md,reports/v1/atlas_motif_catalog/cards/small__c003_card.png,"{""POAG"": 4, ""diabetes"": 3, ""dry_eye"": 1, ""healthy"": 12, ""multiple_sclerosis"": 2}",[],2.9453288339340915,3.495108623814777,14.898036087754619,0.6497364513434691,2.8648218837210804,0.3675734475961707,0.42655156828921403,0.9963770300392838,0.00028890532414401816,375.2791327913279,23.899728997289973,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.36363636363636365
small__c004,small low-relief moderate-roughness motif,"small-scale motif with low-relief, moderate-roughness, smooth-texture, moderate structural complexity, and mostly low-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,610,25,49,artifacts/pattern_atlas/clusters/small__c004/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c004.md,reports/v1/atlas_motif_catalog/cards/small__c004_card.png,"{""POAG"": 5, ""diabetes"": 3, ""dry_eye"": 1, ""healthy"": 10, ""multiple_sclerosis"": 6}",[],1.3277988420402418,1.5924089533872292,6.957684090000684,0.16708603361468824,2.4029831651781426,0.15433808679646643,0.39029886878093895,0.9970430831079494,0.00023241961673743918,447.62622950819673,26.824590163934428,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.45454545454545453
small__c005,small moderate-relief moderate-roughness motif,"small-scale motif with moderate-relief, moderate-roughness, mixed-texture, moderate structural complexity, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,538,27,48,artifacts/pattern_atlas/clusters/small__c005/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c005.md,reports/v1/atlas_motif_catalog/cards/small__c005_card.png,"{""POAG"": 4, ""diabetes"": 4, ""dry_eye"": 1, ""healthy"": 12, ""multiple_sclerosis"": 6}",[],2.1201020618796793,2.5434721169307775,11.271824621910499,0.06624721333356763,2.4708311256422872,0.4511689252001978,0.8714051966132762,0.9893441332879349,0.0008106035171249545,341.41635687732344,30.366171003717472,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.5454545454545454
small__c006,small moderate-relief low-roughness motif,"small-scale motif with moderate-relief, low-roughness, mixed-texture, dense branching/skeleton-like structure, and mixed-frequency PSD content. Height distribution: negative-skew pits, moderate height tails.",small,322,16,31,artifacts/pattern_atlas/clusters/small__c006/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c006.md,reports/v1/atlas_motif_catalog/cards/small__c006_card.png,"{""POAG"": 5, ""diabetes"": 2, ""healthy"": 3, ""multiple_sclerosis"": 6}",[],1.1983480569183456,1.5610108607859345,8.161762662740967,-0.9382142550326444,3.924142082285437,0.18667987495753335,0.5546766656087427,0.9922225123095559,0.000663820937474241,1309.4968944099378,137.24534161490683,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.5454545454545454,1.0,0.9090909090909091
small__c007,small low-relief low-roughness motif,"small-scale motif with low-relief, low-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: positive-skew peaks, heavy-tailed height distribution.",small,114,2,2,artifacts/pattern_atlas/clusters/small__c007/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c007.md,reports/v1/atlas_motif_catalog/cards/small__c007_card.png,"{""multiple_sclerosis"": 2}","[{""cluster_id"": ""small__c007"", ""fraction"": 0.9824561403508771, ""patient_id"": ""19_pm_sm"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c007"", ""fraction"": 0.9824561403508771, ""sample_id"": ""19_pm_sm_fa154f338b55"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.5332207483680624,0.7554612815902945,7.0274526921280644,1.869157730487355,12.651329923094364,0.49089169423831136,5.934618889322586,0.528032139600804,0.037432651915633004,489.7719298245614,162.44736842105263,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.8181818181818182,1.0,1.0,0.7272727272727273,1.0
small__c008,small high-relief moderate-roughness motif,"small-scale motif with high-relief, moderate-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, moderate height tails.",small,204,10,15,artifacts/pattern_atlas/clusters/small__c008/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c008.md,reports/v1/atlas_motif_catalog/cards/small__c008_card.png,"{""POAG"": 2, ""diabetes"": 1, ""healthy"": 4, ""multiple_sclerosis"": 3}","[{""cluster_id"": ""small__c008"", ""fraction"": 0.5294117647058824, ""patient_id"": ""20_lm_sm_ss"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c008"", ""fraction"": 0.5294117647058824, ""sample_id"": ""20_lm_sm_ss_33548e5fb625"", ""warning"": ""cluster_dominated_by_one_sample""}]",1.8527972721586041,2.2776387433211007,12.147981304748386,0.40572314682489663,3.062568445416058,0.7996379708250364,2.6495540322268134,0.9415280643213754,0.002572089981191064,729.5245098039215,130.8186274509804,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182
small__c009,small moderate-relief high-roughness motif,"small-scale motif with moderate-relief, high-roughness, smooth-texture, elongated skeleton-like structure, and mostly low-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,205,11,12,artifacts/pattern_atlas/clusters/small__c009/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c009.md,reports/v1/atlas_motif_catalog/cards/small__c009_card.png,"{""POAG"": 4, ""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 2, ""multiple_sclerosis"": 3}",[],2.135231598121364,2.5247932195663454,10.399772001475823,-0.1462974047833463,2.1856355370544804,0.06996254983653383,0.1021554474883358,0.9998438381617736,1.4133849632192335e-05,1235.239024390244,37.24390243902439,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.6363636363636364
small__c011,small low-relief low-roughness motif,"small-scale motif with low-relief, low-roughness, high-contrast texture, locally branched structure, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, heavy-tailed height distribution.",small,159,4,6,artifacts/pattern_atlas/clusters/small__c011/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c011.md,reports/v1/atlas_motif_catalog/cards/small__c011_card.png,"{""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 1, ""multiple_sclerosis"": 1}","[{""cluster_id"": ""small__c011"", ""fraction"": 0.6226415094339622, ""patient_id"": ""29_pm_suche_oko"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c011"", ""fraction"": 0.6226415094339622, ""sample_id"": ""29_pm_suche_oko_350aab4876ad"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.5174862221351959,0.6527005812656954,3.834650733186014,0.2691301806220703,4.154579532971172,0.2493732881808431,2.8351838909002796,0.9317320668333641,0.0033340738614330723,352.55345911949684,56.899371069182386,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.45454545454545453,0.7272727272727273
